"playlist_id","playlist_name","collaborative","modified_at","num_tracks","num_albums","num_followers","num_edits","playlist_duration_ms","ingestion_timestamp","source_file"
"0","Throwbacks","false","1493424000","52","47","1","6","11532414","2026-06-05 23:28:37.806","file:///home/arvind/spotify-million-playlist-pipeline/data/raw/mpd.slice.0-999.json"
"1","Awesome Playlist","false","1506556800","39","23","1","5","11656470","2026-06-05 23:28:37.806","file:///home/arvind/spotify-million-playlist-pipeline/data/raw/mpd.slice.0-999.json"
"2","korean","false","1505692800","64","51","1","18","14039958","2026-06-05 23:28:37.806","file:///home/arvind/spotify-million-playlist-pipeline/data/raw/mpd.slice.0-999.json"
"3","mat","false","1501027200","126","107","1","4","28926058","2026-06-05 23:28:37.806","file:///home/arvind/spotify-million-playlist-pipeline/data/raw/mpd.slice.0-999.json"
"4","90s","false","1401667200","17","16","2","7","4335282","2026-06-05 23:28:37.806","file:///home/arvind/spotify-million-playlist-pipeline/data/raw/mpd.slice.0-999.json"
"5","Wedding","false","1430956800","80","71","1","3","19156557","2026-06-05 23:28:37.806","file:///home/arvind/spotify-million-playlist-pipeline/data/raw/mpd.slice.0-999.json"
"6","I Put A Spell On You","false","1477094400","16","15","1","2","3408479","2026-06-05 23:28:37.806","file:///home/arvind/spotify-million-playlist-pipeline/data/raw/mpd.slice.0-999.json"
"7","2017","false","1509321600","53","52","1","38","12674796","2026-06-05 23:28:37.806","file:///home/arvind/spotify-million-playlist-pipeline/data/raw/mpd.slice.0-999.json"
"8","BOP","false","1508976000","46","37","2","21","9948921","2026-06-05 23:28:37.806","file:///home/arvind/spotify-million-playlist-pipeline/data/raw/mpd.slice.0-999.json"
"9","old country","false","1501804800","21","20","1","10","4297488","2026-06-05 23:28:37.806","file:///home/arvind/spotify-million-playlist-pipeline/data/raw/mpd.slice.0-999.json"
