"track_name","artist_name","album_name","playlist_count","total_appearances"
"HUMBLE.","Kendrick Lamar","DAMN.","52","52"
"One Dance","Drake","Views","50","55"
"Broccoli (feat. Lil Yachty)","DRAM","Big Baby DRAM","49","50"
"Closer","The Chainsmokers","Closer","45","46"
"Congratulations","Post Malone","Stoney","44","44"
"Don't Let Me Down","The Chainsmokers","The Chainsmokers- Japan Special Edition","41","42"
"Roses","The Chainsmokers","The Chainsmokers- Japan Special Edition","39","39"
"iSpy (feat. Lil Yachty)","KYLE","iSpy (feat. Lil Yachty)","39","39"
"Jumpman","Drake","What A Time To Be Alive","38","39"
"Bounce Back","Big Sean","I Decided.","38","39"
"Mask Off","Future","FUTURE","38","38"
"Bad and Boujee (feat. Lil Uzi Vert)","Migos","Culture","36","38"
"XO TOUR Llif3","Lil Uzi Vert","Luv Is Rage 2","36","37"
"White Iverson","Post Malone","Stoney","36","36"
"Gold Digger","Kanye West","Late Registration","35","35"
"goosebumps","Travis Scott","Birds In The Trap Sing McKnight","35","35"
"Caroline","Aminé","Good For You","35","35"
"Never Be Like You","Flume","Skin","34","35"
"Yeah!","Usher","Confessions","34","34"
"No Role Modelz","J. Cole","2014 Forest Hills Drive","34","34"
