"playlist_name","playlist_name_count","average_num_tracks","average_num_followers"
"country","25","95.4","1.2"
"chill","12","46.75","1.33"
"rap","8","80.0","1.63"
"oldies","8","74.88","1.38"
"worship","8","72.63","3.13"
"rock","8","65.25","1.0"
"workout","7","68.86","1.43"
"christmas","7","40.29","1.71"
"party","6","91.83","1.0"
"feels","6","53.0","1.67"
"new","5","60.6","2.0"
"pop","5","58.4","1.4"
"relax","5","45.2","1.0"
"music","4","122.75","1.25"
"classic","4","95.25","2.25"
"throwbacks","4","94.75","1.5"
"throwback","4","85.0","1.25"
"running","4","54.5","1.5"
"summer 2016","4","53.5","1.5"
"gospel","4","49.0","1.75"
