"album_name","artist_name","playlist_count","track_appearance_count","unique_track_count"
"Stoney","Post Malone","88","184","18"
"Views","Drake","75","129","4"
"Beauty Behind The Madness","The Weeknd","70","121","13"
"Coloring Book","Chance The Rapper","67","118","13"
"Take Care","Drake","65","118","18"
"DAMN.","Kendrick Lamar","64","152","14"
"The Chainsmokers- Japan Special Edition","The Chainsmokers","64","90","6"
"Purpose","Justin Bieber","61","119","15"
"2014 Forest Hills Drive","J. Cole","60","100","11"
"x","Ed Sheeran","60","100","16"
"American Teen","Khalid","59","122","15"
"The Life Of Pablo","Kanye West","59","121","15"
"I Decided.","Big Sean","56","93","11"
"Big Baby DRAM","DRAM","55","66","3"
"Fetty Wap","Fetty Wap","54","90","12"
"Blurryface","Twenty One Pilots","53","134","14"
"Culture","Migos","53","111","11"
"Views","Drake","53","105","16"
"Late Nights: The Album","Jeremih","53","71","9"
"BEYONCÉ [Platinum Edition]","Beyoncé","52","96","18"
