"artist_name","playlist_count","track_appearance_count","unique_track_count"
"Drake","202","938","130"
"Rihanna","170","350","70"
"Kanye West","149","415","77"
"The Weeknd","139","296","58"
"Kendrick Lamar","121","385","75"
"The Chainsmokers","121","232","30"
"Ed Sheeran","116","285","65"
"Maroon 5","113","203","43"
"Chris Brown","106","259","77"
"Big Sean","103","222","39"
"Calvin Harris","102","169","34"
"Beyoncé","101","234","50"
"Justin Bieber","100","251","69"
"Coldplay","97","171","49"
"Post Malone","95","221","21"
"J. Cole","95","220","44"
"Future","94","264","74"
"Lil Wayne","93","242","73"
"DJ Khaled","93","155","39"
"Eminem","91","332","77"
